"Gene","Accession","HGNC"
"Gm2245","ENSMUSG00000089647","Gm2245"
"Osmr","ENSMUSG00000022146","OSMR"
"Egflam","ENSMUSG00000042961","EGFLAM"
"Wdr70","ENSMUSG00000039828","WDR70"
"Nipbl","ENSMUSG00000022141","NIPBL"
"Slc1a3","ENSMUSG00000005360","SLC1A3"
"Skp2","ENSMUSG00000054115","SKP2"
"Il7r","ENSMUSG00000003882","IL7R"
"Dnajc21","ENSMUSG00000044224","DNAJC21"
"Brix1","ENSMUSG00000022247","BRIX1"
"Ttc23l","ENSMUSG00000022249","TTC23L"
"Rai14","ENSMUSG00000022246","RAI14"
"Tars","ENSMUSG00000022241","TARS1"
"Npr3","ENSMUSG00000022206","NPR3"
"Sub1","ENSMUSG00000022205","SUB1"
"Gm49240","ENSMUSG00000115153","Gm49240"
"1810049J17Rik","ENSMUSG00000097221","1810049J17Rik"
"Pdzd2","ENSMUSG00000022197","PDZD2"
"6030458C11Rik","ENSMUSG00000022195","C5orf22"
"Cdh6","ENSMUSG00000039385","CDH6"
"Acot10","ENSMUSG00000047565","ACOT9"
"4930445E18Rik","ENSMUSG00000115355","4930445E18Rik"
"Basp1","ENSMUSG00000045763","BASP1"
"Fbxl7","ENSMUSG00000043556","FBXL7"
"Gm36899","ENSMUSG00000115138","Gm36899"
"Otulin","ENSMUSG00000046034","OTULIN"
"Otulinl","ENSMUSG00000056069","OTULINL"
"Trio","ENSMUSG00000022263","TRIO"
"Gm49233","ENSMUSG00000115839","Gm49233"
"Ankrd33b","ENSMUSG00000022237","ANKRD33B"
"Ropn1l","ENSMUSG00000022236","ROPN1L"
"March6","ENSMUSG00000039100","March6"
"Cct5","ENSMUSG00000022234","CCT5"
"Snhg18","ENSMUSG00000096956","Snhg18"
"Tspyl5","ENSMUSG00000038984","TSPYL5"
"Rpl30","ENSMUSG00000058600","RPL30"
"Rida","ENSMUSG00000022323","RIDA"
"Nipal2","ENSMUSG00000038879","NIPAL2"
"Stk3","ENSMUSG00000022329","STK3"
"Gm48960","ENSMUSG00000115829","Gm48960"
"Cox6c","ENSMUSG00000014313","COX6C"
"Fbxo43","ENSMUSG00000048230","FBXO43"
"Rnf19a","ENSMUSG00000022280","RNF19A"
"Ankrd46","ENSMUSG00000048307","ANKRD46"
"Snx31","ENSMUSG00000013611","SNX31"
"Pabpc1","ENSMUSG00000022283","PABPC3"
"Ywhaz","ENSMUSG00000022285","YWHAZ"
"Zfp706","ENSMUSG00000062397","ZNF706"
"Gm16136","ENSMUSG00000089804","Gm16136"
"Gm16137","ENSMUSG00000089949","Gm16137"
"Ncald","ENSMUSG00000051359","NCALD"
"Gm35019","ENSMUSG00000115326","Gm35019"
"Rrm2b","ENSMUSG00000022292","RRM2B"
"Ubr5","ENSMUSG00000037487","UBR5"
"Gm35167","ENSMUSG00000115680","Gm35167"
"Gm49313","ENSMUSG00000115307","Gm49313"
"Klf10","ENSMUSG00000037465","KLF10"
"Gm41307","ENSMUSG00000115405","Gm41307"
"G930009F23Rik","ENSMUSG00000115009","G930009F23Rik"
"Azin1","ENSMUSG00000037458","AZIN1"
"Gm49097","ENSMUSG00000114994","Gm49097"
"Gm26704","ENSMUSG00000097875","Gm26704"
"Slc25a32","ENSMUSG00000022299","SLC25A32"
"Dpys","ENSMUSG00000022304","DPYS"
"Lrp12","ENSMUSG00000022305","LRP12"
"Gm26854","ENSMUSG00000097232","Gm26854"
"Abra","ENSMUSG00000042895","ABRA"
"Angpt1","ENSMUSG00000022309","ANGPT1"
"Rspo2","ENSMUSG00000051920","RSPO2"
"Eif3e","ENSMUSG00000022336","EIF3E"
"Gm49271","ENSMUSG00000115635","Gm49271"
"Gm10373","ENSMUSG00000072592","Gm10373"
"Tmem74","ENSMUSG00000054409","TMEM74"
"Nudcd1","ENSMUSG00000038736","NUDCD1"
"Sybu","ENSMUSG00000022340","SYBU"
"Kcnv1","ENSMUSG00000022342","KCNV1"
"Trps1","ENSMUSG00000038679","TRPS1"
"Eif3h","ENSMUSG00000022312","EIF3H"
"Rad21","ENSMUSG00000022314","RAD21"
"Ext1","ENSMUSG00000061731","EXT1"
"Samd12","ENSMUSG00000058656","SAMD12"
"Tnfrsf11b","ENSMUSG00000063727","TNFRSF11B"
"Enpp2","ENSMUSG00000022425","ENPP2"
"Taf2","ENSMUSG00000037343","TAF2"
"Dscc1","ENSMUSG00000022422","DSCC1"
"Gm9920","ENSMUSG00000053749","Gm9920"
"Mrpl13","ENSMUSG00000022370","MRPL13"
"Sntb1","ENSMUSG00000060429","SNTB1"
"Has2","ENSMUSG00000022367","HAS2"
"Gm16006","ENSMUSG00000090002","Gm16006"
"9330154K18Rik","ENSMUSG00000047807","9330154K18Rik"
"Derl1","ENSMUSG00000022365","DERL1"
"9130401M01Rik","ENSMUSG00000101892","C8orf76"
"Zhx1","ENSMUSG00000022361","ZHX1"
"Atad2","ENSMUSG00000022360","Atad2"
"Fbxo32","ENSMUSG00000022358","FBXO32"
"Klhl38","ENSMUSG00000022357","KLHL38"
"Anxa13","ENSMUSG00000055114","ANXA13"
"Gm20712","ENSMUSG00000093677","Gm20712"
"Tmem65","ENSMUSG00000062373","TMEM65"
"Tatdn1","ENSMUSG00000050891","TATDN1"
"Mtss1","ENSMUSG00000022353","MTSS1"
"Washc5","ENSMUSG00000022350","WASHC5"
"Gm19510","ENSMUSG00000115426","Gm19510"
"Gm2682","ENSMUSG00000115681","Gm2682"
"Lratd2","ENSMUSG00000072568","LRATD2"
"Gsdmc4","ENSMUSG00000055748","GSDMC"
"Fam49b","ENSMUSG00000022378","Fam49b"
"Asap1","ENSMUSG00000022377","ASAP1"
"Adcy8","ENSMUSG00000022376","ADCY8"
"Kcnq3","ENSMUSG00000056258","KCNQ3"
"Tmem71","ENSMUSG00000036944","TMEM71"
"Sla","ENSMUSG00000022372","SLA"
"Ndrg1","ENSMUSG00000005125","NDRG1"
"St3gal1","ENSMUSG00000013846","ST3GAL1"
"Zfat","ENSMUSG00000022335","ZFAT"
"Gm26621","ENSMUSG00000096967","Gm26621"
"Gm20732","ENSMUSG00000093387","Gm20732"
"Fam135b","ENSMUSG00000036800","FAM135B"
"Col22a1","ENSMUSG00000079022","Col22a1"
"Trappc9","ENSMUSG00000047921","TRAPPC9"
"Ago2","ENSMUSG00000036698","AGO2"
"Ptk2","ENSMUSG00000022607","PTK2"
"Slc45a4","ENSMUSG00000079020","SLC45A4"
"Gpr20","ENSMUSG00000045281","GPR20"
"Mroh5","ENSMUSG00000072487","Mroh5"
"Arc","ENSMUSG00000022602","ARC"
"Jrk","ENSMUSG00000046380","JRK"
"Slurp1","ENSMUSG00000022596","SLURP1"
"Lypd2","ENSMUSG00000022595","LYPD2"
"Slurp2","ENSMUSG00000075605","LYNX1"
"Lynx1","ENSMUSG00000022594","Lynx1"
"Ly6d","ENSMUSG00000034634","LY6D"
"Ly6i","ENSMUSG00000022586","Ly6i"
"Ly6a","ENSMUSG00000075602","Ly6a"
"Ly6c1","ENSMUSG00000079018","Ly6c1"
"Ly6c2","ENSMUSG00000022584","Ly6c2"
"Gm46519","ENSMUSG00000115969","Gm46519"
"Top1mt","ENSMUSG00000000934","TOP1MT"
"Mafa","ENSMUSG00000047591","MAFA"
"Zc3h3","ENSMUSG00000075600","ZC3H3"
"Naprt","ENSMUSG00000022574","NAPRT"
"Eef1d","ENSMUSG00000055762","EEF1D"
"Pycrl","ENSMUSG00000022571","PYCR3"
"Tsta3","ENSMUSG00000022570","Tsta3"
"Ccdc166","ENSMUSG00000098176","Ccdc166"
"Fam83h","ENSMUSG00000046761","FAM83H"
"Scrib","ENSMUSG00000022568","SCRIB"
"Puf60","ENSMUSG00000002524","PUF60"
"Nrbp2","ENSMUSG00000075590","NRBP2"
"Eppk1","ENSMUSG00000115388","EPPK1"
"BC024139","ENSMUSG00000044361","BC024139"
"Plec","ENSMUSG00000022565","PLEC"
"Parp10","ENSMUSG00000063268","PARP10"
"Mirt2","ENSMUSG00000115946","Mirt2"
"Oplah","ENSMUSG00000022562","OPLAH"
"Sharpin","ENSMUSG00000022552","SHARPIN"
"Bop1","ENSMUSG00000022557","BOP1"
"Dgat1","ENSMUSG00000022555","DGAT1"
"Scrt1","ENSMUSG00000048385","SCRT1"
"Tmem249","ENSMUSG00000116376","TMEM249"
"Fbxl6","ENSMUSG00000022559","FBXL6"
"Cpsf1","ENSMUSG00000034022","CPSF1"
"Slc39a4","ENSMUSG00000063354","SLC39A4"
"Vps28","ENSMUSG00000115987","VPS28"
"Tonsl","ENSMUSG00000059323","TONSL"
"Cyhr1","ENSMUSG00000053929","CYHR1"
"Foxh1","ENSMUSG00000033837","FOXH1"
"Recql4","ENSMUSG00000033762","RECQL4"
"Lrrc24","ENSMUSG00000033707","LRRC24"
"C030006K11Rik","ENSMUSG00000116138","C8orf82"
"Arhgap39","ENSMUSG00000033697","ARHGAP39"
"Zfp251","ENSMUSG00000022526","ZNF251"
"Zfp647","ENSMUSG00000054967","ZNF250"
"Mb","ENSMUSG00000018893","MB"
"Rbfox2","ENSMUSG00000033565","RBFOX2"
"Apol7a","ENSMUSG00000010601","Apol7a"
"Apol9a","ENSMUSG00000057346","Apol9a"
"Apol10b","ENSMUSG00000050014","APOL3"
"Apol8","ENSMUSG00000056656","Apol8"
"Myh9","ENSMUSG00000022443","MYH9"
"Txn2","ENSMUSG00000005354","TXN2"
"Foxred2","ENSMUSG00000016552","FOXRED2"
"Eif3d","ENSMUSG00000016554","EIF3D"
"Cacng2","ENSMUSG00000019146","CACNG2"
"Ift27","ENSMUSG00000016637","IFT27"
"Pvalb","ENSMUSG00000005716","PVALB"
"Csf2rb2","ENSMUSG00000071714","Csf2rb2"
"Tex33","ENSMUSG00000062154","TEX33"
"Tst","ENSMUSG00000044986","TST"
"Tmprss6","ENSMUSG00000016942","TMPRSS6"
"Il2rb","ENSMUSG00000068227","IL2RB"
"C1qtnf6","ENSMUSG00000022440","C1QTNF6"
"Rac2","ENSMUSG00000033220","RAC2"
"Gm36738","ENSMUSG00000116097","Gm36738"
"Elfn2","ENSMUSG00000043460","ELFN2"
"Mfng","ENSMUSG00000018169","MFNG"
"Card10","ENSMUSG00000033170","CARD10"
"Lgals2","ENSMUSG00000043501","LGALS2"
"1700027A07Rik","ENSMUSG00000084864","1700027A07Rik"
"Gm17753","ENSMUSG00000115867","Gm17753"
"Gm49544","ENSMUSG00000116262","Gm49544"
"Gm3924","ENSMUSG00000116287","Gm3924"
"Ankrd54","ENSMUSG00000033055","ANKRD54"
"1700088E04Rik","ENSMUSG00000033029","C22orf23"
"Sox10","ENSMUSG00000033006","SOX10"
"Baiap2l2","ENSMUSG00000018126","BAIAP2L2"
"Pla2g6","ENSMUSG00000042632","PLA2G6"
"Tmem184b","ENSMUSG00000009035","TMEM184B"
"Csnk1e","ENSMUSG00000022433","TPTEP2-CSNK1E"
"Kcnj4","ENSMUSG00000044216","KCNJ4"
"Ddx17","ENSMUSG00000055065","DDX17"
"Fam227a","ENSMUSG00000042564","FAM227A"
"Josd1","ENSMUSG00000022426","JOSD1"
"Sun2","ENSMUSG00000042524","SUN2"
"Dnal4","ENSMUSG00000022420","Dnal4"
"Nptxr","ENSMUSG00000022421","NPTXR"
"Cbx6","ENSMUSG00000089715","CBX6"
"Cbx7","ENSMUSG00000053411","CBX7"
"Pdgfb","ENSMUSG00000000489","PDGFB"
"Rpl3","ENSMUSG00000060036","RPL3"
"Rps19bp1","ENSMUSG00000051518","RPS19BP1"
"A430088P11Rik","ENSMUSG00000116220","A430088P11Rik"
"Gm31462","ENSMUSG00000115976","Gm31462"
"Mrtfa","ENSMUSG00000042292","MRTFA"
"8430426J06Rik","ENSMUSG00000115970","8430426J06Rik"
"Slc25a17","ENSMUSG00000022404","SLC25A17"
"St13","ENSMUSG00000022403","ST13"
"Dnajb7","ENSMUSG00000047108","DNAJB7"
"Chadl","ENSMUSG00000063765","CHADL"
"Rangap1","ENSMUSG00000022391","RANGAP1"
"Gm17597","ENSMUSG00000097613","Gm17597"
"Tob2","ENSMUSG00000048546","TOB2"
"Phf5a","ENSMUSG00000061360","PHF5A"
"Polr3h","ENSMUSG00000022476","POLR3H"
"Pmm1","ENSMUSG00000022474","PMM1"
"Desi1","ENSMUSG00000022472","DESI1"
"Snu13","ENSMUSG00000063480","SNU13"
"Shisa8","ENSMUSG00000096883","SHISA8"
"Tnfrsf13c","ENSMUSG00000068105","TNFRSF13C"
"Gm49503","ENSMUSG00000116009","Gm49503"
"Cenpm","ENSMUSG00000068101","CENPM"
"Naga","ENSMUSG00000022453","NAGA"
"Ndufa6","ENSMUSG00000022450","NDUFA6"
"Cyp2d22","ENSMUSG00000061740","CYP2D6"
"Cyp2d26","ENSMUSG00000022445","Cyp2d26"
"Tcf20","ENSMUSG00000041852","TCF20"
"Gm29019","ENSMUSG00000100552","Gm29019"
"Nfam1","ENSMUSG00000058099","NFAM1"
"Rrp7a","ENSMUSG00000018040","RRP7A"
"Poldip3","ENSMUSG00000041815","POLDIP3"
"Cyb5r3","ENSMUSG00000018042","CYB5R3"
"7530414M10Rik","ENSMUSG00000116338","7530414M10Rik"
"A4galt","ENSMUSG00000047878","A4GALT"
"Arfgap3","ENSMUSG00000054277","ARFGAP3"
"1700001L05Rik","ENSMUSG00000075511","1700001L05Rik"
"Pacsin2","ENSMUSG00000016664","PACSIN2"
"Ttll1","ENSMUSG00000022442","TTLL1"
"Mcat","ENSMUSG00000048755","MCAT"
"Ttll12","ENSMUSG00000016757","TTLL12"
"Scube1","ENSMUSG00000016763","SCUBE1"
"Sult4a1","ENSMUSG00000018865","SULT4A1"
"Pnpla5","ENSMUSG00000018868","PNPLA5"
"Shisal1","ENSMUSG00000062760","SHISAL1"
"Rtl6","ENSMUSG00000055745","RTL6"
"Phf21b","ENSMUSG00000016624","PHF21B"
"Gm29666","ENSMUSG00000100967","Gm29666"
"5031439G07Rik","ENSMUSG00000036046","KIAA0930"
"Smc1b","ENSMUSG00000022432","SMC1B"
"Wnt7b","ENSMUSG00000022382","WNT7B"
"Cdpf1","ENSMUSG00000064284","CDPF1"
"Pkdrej","ENSMUSG00000052496","PKDREJ"
"Gm49548","ENSMUSG00000116435","Gm49548"
"Celsr1","ENSMUSG00000016028","CELSR1"
"Cerk","ENSMUSG00000035891","CERK"
"Brd1","ENSMUSG00000022387","BRD1"
"Alg12","ENSMUSG00000035845","ALG12"
"1810021B22Rik","ENSMUSG00000087331","1810021B22Rik"
"Tubgcp6","ENSMUSG00000051786","TUBGCP6"
"Hdac10","ENSMUSG00000062906","HDAC10"
"Mapk12","ENSMUSG00000022610","MAPK12"
"Mapk11","ENSMUSG00000053137","MAPK11"
"Plxnb2","ENSMUSG00000036606","PLXNB2"
"Dennd6b","ENSMUSG00000015377","DENND6B"
"Sbf1","ENSMUSG00000036529","SBF1"
"Lmf2","ENSMUSG00000022614","LMF2"
"Sco2","ENSMUSG00000091780","SCO2"
"Odf3b","ENSMUSG00000047394","ODF3B"
"Cpt1b","ENSMUSG00000078937","CPT1B"
"Chkb","ENSMUSG00000022617","CHKB"
"Arsa","ENSMUSG00000022620","ARSA"
"Rabl2","ENSMUSG00000022621","RABL2B"
"Cpne8","ENSMUSG00000052560","CPNE8"
"Kif21a","ENSMUSG00000022629","KIF21A"
"Abcd2","ENSMUSG00000055782","ABCD2"
"Slc2a13","ENSMUSG00000036298","SLC2A13"
"4930588J15Rik","ENSMUSG00000115858","4930588J15Rik"
"Gxylt1","ENSMUSG00000036197","GXYLT1"
"Yaf2","ENSMUSG00000022634","YAF2"
"Zcrb1","ENSMUSG00000022635","ZCRB1"
"Prickle1","ENSMUSG00000036158","PRICKLE1"
"Adamts20","ENSMUSG00000022449","ADAMTS20"
"Pus7l","ENSMUSG00000033356","PUS7L"
"Twf1","ENSMUSG00000022451","TWF1"
"Nell2","ENSMUSG00000022454","NELL2"
"A130051J06Rik","ENSMUSG00000097643","A130051J06Rik"
"Gm17546","ENSMUSG00000078648","Gm17546"
"Gm49172","ENSMUSG00000115049","Gm49172"
"2610037D02Rik","ENSMUSG00000097536","2610037D02Rik"
"Scaf11","ENSMUSG00000033228","SCAF11"
"Slc38a1","ENSMUSG00000023169","SLC38A1"
"Slc38a2","ENSMUSG00000022462","SLC38A2"
"Slc38a4","ENSMUSG00000022464","SLC38A4"
"Gm32885","ENSMUSG00000116295","Gm32885"
"Amigo2","ENSMUSG00000048218","AMIGO2"
"Rpap3","ENSMUSG00000022466","RPAP3"
"Endou","ENSMUSG00000022468","ENDOU"
"Rapgef3","ENSMUSG00000022469","RAPGEF3"
"Hdac7","ENSMUSG00000022475","HDAC7"
"Vdr","ENSMUSG00000022479","VDR"
"Col2a1","ENSMUSG00000022483","COL2A1"
"Senp1","ENSMUSG00000033075","SENP1"
"Asb8","ENSMUSG00000048175","ASB8"
"Olfr286","ENSMUSG00000059460","OR10AD1"
"Zfp641","ENSMUSG00000022987","ZNF641"
"Kansl2","ENSMUSG00000022992","KANSL2"
"Ccnt1","ENSMUSG00000011960","CCNT1"
"Adcy6","ENSMUSG00000022994","ADCY6"
"Ddx23","ENSMUSG00000003360","DDX23"
"Rnd1","ENSMUSG00000054855","RND1"
"Fkbp11","ENSMUSG00000003355","FKBP11"
"Arf3","ENSMUSG00000051853","ARF3"
"Wnt10b","ENSMUSG00000022996","WNT10B"
"Ddn","ENSMUSG00000059213","DDN"
"Prkag1","ENSMUSG00000067713","PRKAG1"
"Kmt2d","ENSMUSG00000048154","KMT2D"
"Rhebl1","ENSMUSG00000023755","RHEBL1"
"Lmbr1l","ENSMUSG00000022999","LMBR1L"
"Tuba1b","ENSMUSG00000023004","TUBA1B"
"Tuba1a","ENSMUSG00000072235","TUBA1A"
"C1ql4","ENSMUSG00000001076","C1QL4"
"Mcrs1","ENSMUSG00000037570","MCRS1"
"Fam186b","ENSMUSG00000078907","FAM186B"
"Fmnl3","ENSMUSG00000023008","FMNL3"
"Nckap5l","ENSMUSG00000023009","NCKAP5L"
"Gm49484","ENSMUSG00000116249","Gm49484"
"Bcdin3d","ENSMUSG00000037525","BCDIN3D"
"Faim2","ENSMUSG00000023011","FAIM2"
"Racgap1","ENSMUSG00000023015","RACGAP1"
"Gm17349","ENSMUSG00000091604","Gm17349"
"Gm16537","ENSMUSG00000089671","Gm16537"
"Cers5","ENSMUSG00000023021","CERS5"
"Lima1","ENSMUSG00000023022","LIMA1"
"Fam186a","ENSMUSG00000045350","FAM186A"
"2310068J16Rik","ENSMUSG00000100084","2310068J16Rik"
"4930478M13Rik","ENSMUSG00000116311","4930478M13Rik"
"Slc11a2","ENSMUSG00000023030","SLC11A2"
"5330439K02Rik","ENSMUSG00000097827","5330439K02Rik"
"Csrnp2","ENSMUSG00000044636","CSRNP2"
"Tfcp2","ENSMUSG00000009733","TFCP2"
"Pou6f1","ENSMUSG00000009739","POU6F1"
"1110013H19Rik","ENSMUSG00000116164","1110013H19Rik"
"C330013E15Rik","ENSMUSG00000097093","C330013E15Rik"
"Smagp","ENSMUSG00000053559","SMAGP"
"Bin2","ENSMUSG00000098112","BIN2"
"Cela1","ENSMUSG00000023031","CELA1"
"Galnt6","ENSMUSG00000037280","GALNT6"
"I730030J21Rik","ENSMUSG00000116504","I730030J21Rik"
"Fignl2","ENSMUSG00000095440","FIGNL2"
"A330009N23Rik","ENSMUSG00000097915","A330009N23Rik"
"Krt80","ENSMUSG00000037185","KRT80"
"Gm671","ENSMUSG00000116116","Gm671"
"Krt83","ENSMUSG00000067613","Krt83"
"Krt90","ENSMUSG00000048699","Krt90"
"Krt1","ENSMUSG00000046834","KRT1"
"Krt76","ENSMUSG00000075402","KRT76"
"Krt4","ENSMUSG00000059668","KRT4"
"Krt79","ENSMUSG00000061397","KRT79"
"Krt78","ENSMUSG00000050463","KRT78"
"Krt8","ENSMUSG00000049382","KRT8"
"Spryd3","ENSMUSG00000036966","SPRYD3"
"Csad","ENSMUSG00000023044","CSAD"
"Itgb7","ENSMUSG00000001281","ITGB7"
"Rarg","ENSMUSG00000001288","RARG"
"Gm49479","ENSMUSG00000116091","Gm49479"
"Aaas","ENSMUSG00000036678","AAAS"
"Sp7","ENSMUSG00000060284","SP7"
"Map3k12","ENSMUSG00000023050","MAP3K12"
"Npff","ENSMUSG00000023052","NPFF"
"Atf7","ENSMUSG00000099083","ATF7-NPFF"
"Atp5g2","ENSMUSG00000062683","ATP5MC2"
"Calcoco1","ENSMUSG00000023055","CALCOCO1"
"D930007P13Rik","ENSMUSG00000097003","D930007P13Rik"
"Smug1","ENSMUSG00000036061","SMUG1"
"Cbx5","ENSMUSG00000009575","CBX5"
"Nfe2","ENSMUSG00000058794","NFE2"
"Gpr84","ENSMUSG00000063234","Gpr84"
"Zfp385a","ENSMUSG00000000552","ZNF385A"
"Itga5","ENSMUSG00000000555","ITGA5"
"Ppp1r1a","ENSMUSG00000022490","PPP1R1A"
"Selenop","ENSMUSG00000064373","SELENOP"
"Gm2093","ENSMUSG00000097662","Gm2093"
"Oxct1","ENSMUSG00000022186","OXCT1"
"Plcxd3","ENSMUSG00000049148","PLCXD3"
"Rpl37","ENSMUSG00000041841","RPL37"
"Prkaa1","ENSMUSG00000050697","PRKAA1"
"Ttc33","ENSMUSG00000022151","TTC33"
"Dab2","ENSMUSG00000022150","DAB2"
"Fyb","ENSMUSG00000022148","FYB1"
"Rictor","ENSMUSG00000050310","RICTOR"
"Lifr","ENSMUSG00000054263","LIFR"
"Gm49207","ENSMUSG00000115497","Gm49207"
"Gdnf","ENSMUSG00000022144","GDNF"
"Nup155","ENSMUSG00000022142","NUP155"
"Cplane1","ENSMUSG00000039801","CPLANE1"
"Gm31282","ENSMUSG00000115591","Gm31282"
"Gm49249","ENSMUSG00000115480","Gm49249"
"Ranbp3l","ENSMUSG00000048424","RANBP3L"
"Nadk2","ENSMUSG00000022253","NADK2"
"Lmbrd2","ENSMUSG00000039704","LMBRD2"
"Capsl","ENSMUSG00000039676","CAPSL"
"Prlr","ENSMUSG00000005268","PRLR"
"Rad1","ENSMUSG00000022248","RAD1"
"Gm10389","ENSMUSG00000115667","Gm10389"
"4930556M19Rik","ENSMUSG00000096971","4930556M19Rik"
"Gm19276","ENSMUSG00000115151","Gm19276"
"C1qtnf3","ENSMUSG00000058914","C1QTNF3-AMACR"
"Amacr","ENSMUSG00000022244","AMACR"
"Adamts12","ENSMUSG00000047497","ADAMTS12"
"Gm5144","ENSMUSG00000115240","Gm5144"
"Zfr","ENSMUSG00000022201","ZFR"
"Mtmr12","ENSMUSG00000039458","MTMR12"
"Golph3","ENSMUSG00000022200","GOLPH3"
"Drosha","ENSMUSG00000022191","DROSHA"
"Cdh9","ENSMUSG00000025370","CDH9"
"Cdh10","ENSMUSG00000022321","CDH10"
"Cdh18","ENSMUSG00000040420","CDH18"
"Gm5468","ENSMUSG00000056089","Gm5468"
"Myo10","ENSMUSG00000022272","MYO10"
"Retreg1","ENSMUSG00000022270","RETREG1"
"Zfp622","ENSMUSG00000052253","ZNF622"
"March11","ENSMUSG00000022269","March11"
"Ank","ENSMUSG00000022265","ANKH"
"Dnah5","ENSMUSG00000022262","DNAH5"
"Ctnnd2","ENSMUSG00000022240","CTNND2"
"Dap","ENSMUSG00000039168","DAP"
"Gm49208","ENSMUSG00000115710","Gm49208"
"Cmbl","ENSMUSG00000022235","CMBL"
"Atpsckmt","ENSMUSG00000039065","ATPSCKMT"
"Sema5a","ENSMUSG00000022231","SEMA5A"
"Gm32618","ENSMUSG00000115317","Gm32618"
"Sdc2","ENSMUSG00000022261","SDC2"
"Cpq","ENSMUSG00000039007","CPQ"
"Mtdh","ENSMUSG00000022255","MTDH"
"Laptm4b","ENSMUSG00000022257","LAPTM4B"
"Matn2","ENSMUSG00000022324","MATN2"
"Erich5","ENSMUSG00000044726","ERICH5"
"Pop1","ENSMUSG00000022325","POP1"
"4930413F20Rik","ENSMUSG00000115526","4930413F20Rik"
"Kcns2","ENSMUSG00000050963","KCNS2"
"Osr2","ENSMUSG00000022330","OSR2"
"Vps13b","ENSMUSG00000037646","VPS13B"
"Polr2k","ENSMUSG00000045996","POLR2K"
"Spag1","ENSMUSG00000037617","SPAG1"
"Gm49282","ENSMUSG00000115750","Gm49282"
"Gm34590","ENSMUSG00000115333","Gm34590"
"Gm26766","ENSMUSG00000097259","Gm26766"
"Grhl2","ENSMUSG00000022286","GRHL2"
"Gm49085","ENSMUSG00000115249","Gm49085"
"Gm49312","ENSMUSG00000115771","Gm49312"
"Odf1","ENSMUSG00000061923","ODF1"
"Gm35248","ENSMUSG00000115456","Gm35248"
"Gm49077","ENSMUSG00000115546","Gm49077"
"Atp6v1c1","ENSMUSG00000022295","ATP6V1C1"
"Baalc","ENSMUSG00000022296","BAALC"
"Fzd6","ENSMUSG00000022297","FZD6"
"Gm49786","ENSMUSG00000115508","Gm49786"
"Cthrc1","ENSMUSG00000054196","CTHRC1"
"Dcaf13","ENSMUSG00000022300","DCAF13"
"Rims2","ENSMUSG00000037386","RIMS2"
"Gm33251","ENSMUSG00000115142","Gm33251"
"9330182O14Rik","ENSMUSG00000094112","9330182O14Rik"
"Zfpm2","ENSMUSG00000022306","ZFPM2"
"Oxr1","ENSMUSG00000022307","OXR1"
"Gm17473","ENSMUSG00000097805","Gm17473"
"Emc2","ENSMUSG00000022337","EMC2"
"Eny2","ENSMUSG00000022338","ENY2"
"Pkhd1l1","ENSMUSG00000038725","PKHD1L1"
"Ebag9","ENSMUSG00000022339","EBAG9"
"Gm41318","ENSMUSG00000115775","Gm41318"
"Utp23","ENSMUSG00000022313","UTP23"
"Aard","ENSMUSG00000068522","AARD"
"Med30","ENSMUSG00000038622","MED30"
"Mal2","ENSMUSG00000024479","MAL2"
"Ccn3","ENSMUSG00000037362","CCN3"
"Deptor","ENSMUSG00000022419","DEPTOR"
"Col14a1","ENSMUSG00000022371","COL14A1"
"Mtbp","ENSMUSG00000022369","MTBP"
"Gm46516","ENSMUSG00000115200","Gm46516"
"Has2os","ENSMUSG00000086541","Has2os"
"Zhx2","ENSMUSG00000071757","ZHX2"
"Tbc1d31","ENSMUSG00000022364","TBC1D31"
"Fam83a","ENSMUSG00000051225","FAM83A"
"Wdyhv1","ENSMUSG00000022359","NTAQ1"
"Gm15943","ENSMUSG00000086801","Gm15943"
"Fam91a1","ENSMUSG00000037119","FAM91A1"
"Fer1l6","ENSMUSG00000037106","FER1L6"
"Trmt12","ENSMUSG00000037085","TRMT12"
"Rnf139","ENSMUSG00000037075","RNF139"
"Ndufb9","ENSMUSG00000022354","NDUFB9"
"4930544F09Rik","ENSMUSG00000115062","4930544F09Rik"
"Sqle","ENSMUSG00000022351","SQLE"
"Nsmce2","ENSMUSG00000059586","NSMCE2"
"Gm36677","ENSMUSG00000115896","Gm36677"
"Trib1","ENSMUSG00000032501","TRIB1"
"9930014A18Rik","ENSMUSG00000097493","9930014A18Rik"
"Gm38563","ENSMUSG00000116498","Gm38563"
"Myc","ENSMUSG00000022346","MYC"
"Pvt1","ENSMUSG00000097039","Pvt1"
"Gm20717","ENSMUSG00000093695","Gm20717"
"Efr3a","ENSMUSG00000015002","EFR3A"
"Phf20l1","ENSMUSG00000072501","PHF20L1"
"Tg","ENSMUSG00000053469","TG"
"Ccn4","ENSMUSG00000005124","CCN4"
"Gm17035","ENSMUSG00000091479","Gm17035"
"Gm2895","ENSMUSG00000091412","Gm2895"
"Gm31342","ENSMUSG00000116289","Gm31342"
"Khdrbs3","ENSMUSG00000022332","KHDRBS3"
"Chrac1","ENSMUSG00000068391","CHRAC1"
"Gm49066","ENSMUSG00000115810","Gm49066"
"Dennd3","ENSMUSG00000036661","DENND3"
"1700010B13Rik","ENSMUSG00000099958","1700010B13Rik"
